"nid","tnid","type","title","body","field_file","field_image","field_image_title","field_image_alt","resource_type","document_filter_categories","language","user_id","author","created","updated","alias_path","promote","status","sticky"
"1567","0","Document","RTS Agent Instagram Story Image 3","Image copy: I'm an RTS agent! Reply to this story if you'd like to learn more. ","","https://test-rts-financial.pantheonsite.io/sites/default/files/1080x1920%20IG%20Story%20Image3.jpg","","","Image","Instagram","English","31","dschneider","1632520132","1632520132","/doc/rts-agent-instagram-story-image-3","0","1","0"
"1568","0","Document","RTS Agent LinkedIn Cover Art 1","Image copy: Proud to be an RTS Agent!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1128x191%20LinkedIn%20Cover%20Art1.jpg","","","Image","LinkedIn","English","31","dschneider","1632520290","1633367597","/doc/rts-agent-linkedin-cover-art-1","0","1","0"
"1569","0","Document","RTS Agent LinkedIn Cover Art 2","Image copy: I'm Here to Help Your Trucking Company!","","https://test-rts-financial.pantheonsite.io/sites/default/files/1128x191%20LinkedIn%20Cover%20Art2.jpg","","","Image","LinkedIn","English","31","dschneider","1632520338","1633367581","/doc/rts-agent-linkedin-cover-art-2","0","1","0"
"1570","0","Document","RTS Agent LinkedIn Cover Art 3","Image copy: Proud RTS Agent","","https://test-rts-financial.pantheonsite.io/sites/default/files/1128x191%20LinkedIn%20Cover%20Art3.jpg","","","Image","LinkedIn","English","31","dschneider","1632520393","1633367571","/doc/rts-agent-linkedin-cover-art-3","0","1","0"
"1582","0","Document","RTS Agent Program Social Media Best Practices","Information on the best ways to use social media to promote RTS. ","https://test-rts-financial.pantheonsite.io/sites/default/files/RTS-Agent-Program-Social-Media-Best-Practices.pdf","","","","Document","Resources","English","31","dschneider","1635887922","1635887922","/doc/rts-agent-program-social-media-best-practices","0","1","0"
"1597","0","Document","RTS Agent YouTube Cover Art 1","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Cover%20Art%201.jpg","","","Image","YouTube","English","31","dschneider","1640641171","1644266784","/doc/rts-agent-youtube-cover-art-1","0","1","0"
"1598","0","Document","RTS Agent YouTube Cover Art 2","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Cover%20Art%202.jpg","","","Image","YouTube","English","31","dschneider","1640641230","1644266821","/doc/rts-agent-youtube-cover-art-2","0","1","0"
"1599","0","Document","RTS Agent YouTube Cover Art 3","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Cover%20Art%203.jpg","","","Image","YouTube","English","31","dschneider","1640641274","1644266707","/doc/rts-agent-cover-art-3","0","1","0"
"1600","0","Document","RTS Agent YouTube Video Ad 1","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Video%20Ad%201.jpg","","","Image","YouTube","English","31","dschneider","1640641403","1644266689","/doc/rts-agent-youtube-video-ad-1","0","1","0"
"1601","0","Document","RTS Agent YouTube Video Ad 3","Image copy: RTS Agent logo","","https://test-rts-financial.pantheonsite.io/sites/default/files/1920x1080%20YouTube%20Video%20Ad%203.jpg","","","Image","YouTube","English","31","dschneider","1640641452","1644266635","/doc/rts-agent-youtube-video-ad-3","0","1","0"
"1602","0","Document","RTS Agent Logo - Blue","RTS Agent logo for agent use, blue with a transparent background","","https://test-rts-financial.pantheonsite.io/sites/default/files/400px%20RTS%20AGENT-%200091EA%20-%20RGB.png","","","Image","Resources","English","31","dschneider","1640641916","1640641960","/doc/rts-agent-logo-blue","0","1","0"
"1603","0","Document","RTS Agent Logo - Black","RTS Agent logo for agent use, black with a transparent background","","https://test-rts-financial.pantheonsite.io/sites/default/files/400px%20RTS%20AGENT-%20Black%20-%20RGB.png","","","Image","Resources","English","31","dschneider","1640642011","1640642011","/doc/rts-agent-logo-black","0","1","0"
"1604","0","Document","RTS Agent Logo - White","RTS Agent Logo, white with a transparent background","","https://test-rts-financial.pantheonsite.io/sites/default/files/400px%20RTS%20AGENT-%20White%20-%20RGB.png","","","Image","Resources","English","31","dschneider","1640642068","1640642068","/doc/rts-agent-logo-white","0","1","0"
